,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
580,WB,"District Birbhum (08), West Bengal (19)",3015422,1546633,1468789,17.88,1553852,920153,633699,1553852,371539,264683,209034,74737,1128497
581,WB,District Barddhaman,6895514,3588376,3307138,14.36,4205146,2458485,1746661,4205146,991623,728878,748285,297950,2451241
582,WB,District Nadia,4604827,2366853,2237974,19.51,2644461,1489038,1155423,2644461,695736,465510,364806,127632,1615705
583,WB,"District North Twenty Four Parganas (11), West Bengal (19)",8934286,4638756,4295530,22.64,6151527,3440748,2710779,6151527,1423093,1133954,1167918,621001,2988160
584,WB,District Hugli,5041976,2589625,2452351,15.72,3333988,1883474,1450514,3333988,854367,578414,543704,267093,1859487
585,WB,District Bankura,3192695,1636002,1556693,13.79,1734222,1075401,658821,1734222,411875,330270,240753,78487,1427272
586,WB,"District Puruliya (14), West Bengal (19)",2536516,1298078,1238438,13.96,1182284,803494,378790,1182284,276749,229429,166519,49425,1127488
587,WB,District Medinipur,9610788,4916370,4694418,15.68,6164316,3573623,2590693,6164316,1586123,1034942,743625,246415,3751057
588,WB,District Haora,4273099,2241898,2031201,14.6,2895625,1647348,1248277,2895625,759810,506707,489226,211494,1438874
589,WB,"District Kolkata (17), West Bengal (19)",4572876,2500040,2072836,4.11,3382103,1925008,1457095,3382103,627376,579556,863520,654046,1717734
590,WB,"Twenty Four Parganas (18), West Bengal (19)",6906689,3564993,3341696,20.89,4067343,2399713,1667630,4067343,1024531,641593,465067,182893,2242760
