,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
138,Gujarat,"District Jamnagar (10), Gujarat (24)",1904278,981320,922958,22.39,1083696,638101,445595,1083696,317584,178293,207926,57566,734382
139,Gujarat,District Porbandar,536835,275821,261014,14.35,316172,184717,131455,316172,91944,58461,63064,13007,215134
140,Gujarat,"District Junagadh (12), Gujarat (24)",2448173,1252350,1195823,17.08,1408878,833064,575814,1408878,397552,245044,293642,60977,1000842
141,Gujarat,"District Amreli (13), Gujarat (24)",1393918,701593,692325,6.45,789978,456025,333953,789978,255693,100584,133486,20031,600819
142,Gujarat,"District Bhavnagar (14), Gujarat (24)",2469630,1274920,1194710,19.29,1368920,828080,540840,1368920,447754,176531,217579,57987,944559
143,Gujarat,District Anand,1856872,972000,884872,13.03,1193404,717909,475495,1193404,328052,163168,299294,71226,784711
144,Gujarat,"District Kheda (16), Gujarat (24)",2024216,1052823,971393,13.24,1243363,769426,473937,1243363,343682,180020,299712,56489,908180
145,Gujarat,"District Panch Mahals (17), Gujarat (24)",2025277,1044937,980340,20.36,1025835,659346,366489,1025835,276113,156973,239821,37261,976726
146,Gujarat,District Dohad,1636433,824208,812225,28.35,588074,385340,202734,588074,145165,87404,130333,20770,814590
147,Gujarat,"District Vadodara (19), Gujarat (24)",3641802,1897368,1744434,19.8,2228008,1309347,918661,2228008,532329,314118,596035,219863,1518845
148,Gujarat,District Narmada,514404,263986,250418,14.4,259472,161092,98380,259472,72778,39196,47023,8831,259116
149,Gujarat,"District Bharuch (21), Gujarat (24)",1370656,713676,656980,19.32,875519,508240,367279,875519,242665,125810,203903,49957,570693
150,Gujarat,"District Surat (22), Gujarat (24)",4995174,2722539,2272635,47.04,3206404,1914423,1291981,3206404,897529,499495,847536,189593,2182509
151,Gujarat,"District The Dangs (23), Gujarat (24)",186729,93974,92755,29.58,89586,53339,36247,89586,25573,11049,11161,2217,92993
152,Gujarat,District Navsari,1229463,628988,600475,13.22,819146,456108,363038,819146,204846,130100,227515,51890,545215
153,Gujarat,"District Valsad (25), Gujarat (24)",1410553,734799,675754,29.66,833257,489578,343679,833257,200325,133866,225426,58659,650257
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
154,Haryana,"District Panchkula * (01), Haryana (06)",468411,256939,211472,51.16,297795,178592,119203,297795,64345,41250,89592,48484,178644
155,Haryana,"District Ambala (02), Haryana (06)",1014411,542977,471434,25.69,662789,384828,277961,662789,177353,115883,192036,58843,324521
156,Haryana,"District Yamunanagar (03), Haryana (06)",1041630,559444,482186,21.84,638711,375462,263249,638711,182389,113863,165121,42063,336533
157,Haryana,"District Kurukshetra (04), Haryana (06)",825454,442328,383126,23.72,494873,293615,201258,494873,143229,82975,122395,32775,308392
158,Haryana,"District Kaithal (05), Haryana (06)",946131,510513,435618,20.95,472563,296857,175706,472563,143353,76312,100857,19385,372011
159,Haryana,"District Karnal (06), Haryana (06)",1274183,683368,590815,23.13,732609,440070,292539,732609,208280,123098,180013,46851,455455
160,Haryana,"District Panipat (07), Haryana (06)",967449,528860,438589,38.57,559478,346329,213149,559478,147276,96105,151277,35403,382801
161,Haryana,"District Sonipat (08), Haryana (06)",1279175,695723,583452,22.36,788105,486601,301504,788105,193323,133517,247039,43912,523031
162,Haryana,"District Jind (09), Haryana (06)",1189827,642282,547545,21.35,622654,397972,224682,622654,181858,98902,145996,23995,521946
163,Haryana,"District Fatehabad * (10), Haryana (06)",806158,427862,378296,24.76,392178,243492,148686,392178,120062,59284,78653,14390,362975
164,Haryana,"District Sirsa (11), Haryana (06)",1116649,593245,523404,22.96,574624,350958,223666,574624,172232,90443,120460,27303,475571
165,Haryana,"District Hisar (12), Haryana (06)",1537117,830520,706597,27.06,842302,536521,305781,842302,228924,131189,214909,48813,665572
166,Haryana,"District Bhiwani (13), Haryana (06)",1425022,758253,666769,22.45,809896,510805,299091,809896,227844,135464,207427,35372,609320
