District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
,,,,,,,,,,,,,,,,,,,,
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,1037344,911136,126208,474060,600668,431491,256510,163463,154153,2228689,769736,433862
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,1291644,1081569,210075,826387,780470,531913,281747,148770,98691,2671757,911621,544283
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,1088036,921497,166539,498971,827447,549594,255028,159528,148185,2404576,786305,450186
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,1417811,1193439,224372,635957,725118,492338,296210,186311,186489,3168270,988486,525574
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,630408,413258,737261,609693,127568,278477,374898,171242,85117,51703,43839,1576123,491164,258913
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569,599089,459037,140052,251669,352835,230640,161282,164763,69522,1227283,391275,215849
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1254520,886968,1090539,898810,191729,412280,495861,469403,359944,254337,275076,2165117,780475,451827
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,416695,342604,74091,139646,272939,215070,132197,79475,44164,817140,283276,194548
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867,1520538,1231615,288923,534606,858286,797473,597661,475439,255949,2891069,1139871,559963
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882,569109,443384,125725,201277,330623,283031,218587,194796,101645,1015648,402967,188862
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342,1173260,897815,275445,443641,540754,475146,338138,217882,151182,2246254,753949,472808
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,1174361,929337,245024,456870,491605,443958,334738,216997,172585,2378289,787408,472667
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,484115,398126,85989,181444,297282,269717,166861,89435,49812,1011157,339137,210083
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,943346,564400,840939,635142,205797,303291,420976,344961,233264,155937,103102,1600686,535738,327854
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,1389844,1119701,270143,600839,904836,647340,450571,317618,199395,2871903,991255,547873
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,912314,609492,761521,621840,139681,324525,416295,368905,277163,166249,108627,1621154,543730,312689
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,712110,491775,560840,466067,94773,234774,353287,319158,230731,144516,111696,1193660,402321,265638
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,986501,560976,1107343,939616,167727,556130,585283,295943,154425,86760,64222,2436051,748408,424194
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1342697,849062,1401971,1153006,248965,717585,641251,442110,272840,172554,146446,2893965,952233,514141
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,654290,406805,618605,534939,83666,294135,281158,240057,117838,77602,66129,1320476,449673,256276
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788,892214,783313,108901,451571,476064,315873,158430,96308,87355,1961237,652237,368743
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887,1264718,1058483,206235,717340,621684,442748,223669,129627,128548,2582597,896611,510832
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,1422602,1171252,251350,714304,656401,482220,221898,136383,127750,2862383,1000987,588318
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,1318946,1091952,226994,741817,906861,510507,247265,138583,103523,2598364,905306,559988
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,1124744,851014,273730,501457,512965,415378,240024,136688,101934,1893706,706851,453462
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,1542806,1226399,316407,489898,554301,552171,428121,378742,639260,2678289,1161686,685258
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,1204710,867393,337317,540661,538301,477689,270775,182823,153041,2116007,776583,506583
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,592267,494545,97722,270550,330084,257279,184298,115069,110391,1224584,411153,246795
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,524676,430934,93742,237853,283674,263749,175582,107628,95072,1069916,361028,223535
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,506072,413713,92359,171216,292852,298700,195192,121283,118571,979633,362026,237786
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,442023,364543,77480,133123,291837,282449,168866,101542,79012,856336,320763,202054
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,628864,493991,134873,235341,344866,341845,223529,157167,97740,1100820,415918,276272
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,1572232,1299871,272361,338620,766906,794860,651228,515772,396565,2630411,1209554,731795
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,620764,470969,149795,169207,327534,282919,167911,104699,106888,1002817,410090,274954
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,814914,565357,249557,184997,370685,341371,186348,99814,92586,1171301,510728,308331
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,503351,326783,176568,185575,202692,154118,61543,32237,34658,793551,265080,159666
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,443655,308527,135128,159593,238344,211029,103334,59914,59612,660774,260368,181109
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,349676,237153,112523,119002,141201,131165,60400,33810,37165,527067,201394,137393
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,701689,485314,216375,325773,415195,249238,114783,61702,63112,1120432,408527,265310
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,394197,254977,139220,168472,174106,124256,69641,40266,35826,638046,214228,136669
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,1063929,713736,350193,409875,463642,376472,227119,134445,116445,1624830,603831,395547
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,1066601,704569,362032,427626,558350,456752,332742,238011,197846,2002569,703727,492097
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,639086,402644,236442,184229,253910,180825,146757,89011,45341,1034099,336401,210556
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,2111907,1426110,685797,823863,934881,738076,596615,502826,428871,3764404,1335224,818137
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,1192850,871241,321609,533140,420824,350564,197780,132332,113799,2043335,709494,445269
